ORF,O1,O2,N1,N2,S1,S2,Q1,Q2
CAGL0E04334g,11683,10802,10332,6395,3535,5140,6509,5699
CAGL0E04356g,3520,3284,3799,3530,1337,1180,2916,2324
CAGL0E04378g,2033,1478,1696,1616,977,1123,1624,988
CAGL0E04400g,1062,737,770,709,576,633,817,519
CAGL0E04422g,530,443,514,604,282,355,682,392
CAGL0E04433r,13,4,3,10,3,8,15,5
CAGL0E04444g,1655,1186,1283,1140,688,916,1347,937
CAGL0E04466g,11,16,2,6,5,7,4,6
CAGL0E04488g,548,376,535,544,164,251,624,434
CAGL0E04510g,317,227,384,450,136,266,480,246
CAGL0E04532g,1981,1588,1408,1113,967,1383,1493,1050
CAGL0E04548g,301,244,495,519,123,177,420,325
CAGL0E04554g,40,33,143,62,6,8,135,157
CAGL0E04576g,1646,1082,1460,1303,594,1076,1570,738
CAGL0E04598g,1502,1484,1325,1312,641,719,1500,1117
CAGL0E04620g,4592,4603,3984,5413,2179,2069,5012,3486
CAGL0E04642g,1134,834,1068,1026,539,789,1048,619
CAGL0E04664g,1009,980,914,783,570,913,1118,906
CAGL0E04686g,1161,782,1146,1175,596,857,1501,802
CAGL0E04708g,208,132,227,171,66,144,193,132
CAGL0E04730r,0,0,0,0,0,0,0,0
CAGL0E04752g,6172,6339,5116,3987,2500,2870,5097,5128
CAGL0E04774g,1465,1063,1900,1703,532,714,2307,1583
CAGL0E04796g,1490,1072,1264,1206,622,906,1584,887
CAGL0E04818g,629,388,489,443,270,405,578,308
CAGL0E04840g,10,5,11,7,1,5,6,5
CAGL0E04862g,1129,817,1000,726,283,700,1039,617
CAGL0E04884g,1491,1098,2770,2996,186,503,1925,773
CAGL0E04906g,1121,681,980,1232,712,378,1544,857
CAGL0E04928g,1020,668,780,846,438,481,827,584
CAGL0E04950g,663,421,491,423,162,440,612,276
CAGL0E04972g,1492,1122,1379,1037,272,1032,1347,883
CAGL0E04994g,22033,13432,14928,9972,10312,12412,14552,8186
CAGL0E05016g,6656,4423,4458,3271,3039,3551,4133,2684
CAGL0E05038g,1962,1264,1865,1463,552,1140,1941,1187
CAGL0E05060g,1696,1136,1302,1169,306,874,1616,985
CAGL0E05082g,574,422,589,558,278,396,632,370
